##	##
simulation time	timestep	input EIR	simulated EIR	human infectiousness	N_v0(gambiae_ss)	N_v(gambiae_ss)	O_v(gambiae_ss)	S_v(gambiae_ss)	immunity h	immunity Y	new infections	num transmitting humans	res avail(gambiae_ss)	res req(gambiae_ss)
87	nan	0.867198	-nan	0.0246014	524.995	4444.28	99.8987	44.7724	4.93	425595	5	39	911.769	nan
88	nan	0.917032	-nan	0.0246309	592.082	4869.79	107.6	47.778	5.03	432467	10	39	1031.77	nan
89	nan	0.987176	-nan	0.0237907	674.962	5412.5	116.479	51.3314	5.07	439262	4	39	1180.29	nan
90	nan	1.08081	-nan	0.0245126	775.698	6092.5	126.478	55.3772	5.16	445716	9	39	1361.25	nan
91	nan	1.20184	-nan	0.0252525	896.848	6929.55	140.778	59.9194	5.22	452314	6	39	1578.18	nan
92	nan	1.35484	-nan	0.0260451	1039.66	7957.14	159.886	65.699	5.27	457643	5	39	1833.52	nan
93	nan	1.54493	-nan	0.0269714	1204.71	9169.45	184.913	73.6714	5.36	465192	9	39	2127.83	nan
94	nan	1.77741	-nan	0.0264881	1390.86	10577.3	215.845	84.0952	5.53	475125	17	39	2458.78	nan
95	nan	2.05728	-nan	0.0259017	1594.81	12180.5	249.022	97.7331	5.73	487066	21	38	2820.2	nan
96	nan	2.38838	-nan	0.025932	1812.01	13964	284.887	113.735	6.03	498211	30	39	3201.38	nan
97	nan	2.77233	-nan	0.0266642	2033.58	15890.2	326.437	130.713	6.27	511216	24	40	3586.89	nan
98	nan	3.20725	-nan	0.027071	2248.71	17938.5	375.752	149.885	6.48	526126	21	40	3957.2	nan
99	nan	3.68641	-nan	0.0284203	2444.84	19972.1	432.564	172.076	6.73	543744	25	40	4290.15	nan
100	nan	4.19712	-nan	0.0307425	2608.6	21901	501.382	197.7	7.06	564563	33	41	4563.35	nan
101	nan	4.72026	-nan	0.0331523	2727.78	23626.8	585.728	227.921	7.59	583834	55	41	4757.02	nan
102	nan	5.23073	-nan	0.0367379	2794.99	25050.4	682.786	265.078	7.96	602368	37	41	4856.82	nan
103	nan	5.69917	-nan	0.0375794	2804.37	26137.1	789.874	310.366	8.43	618410	47	41	4855.99	nan
104	nan	6.09483	-nan	0.0373024	2756.08	26733.9	881.565	361.655	9.04	633818	71	42	4756.35	nan
105	nan	6.38941	-nan	0.0376582	2654.99	26824.5	947.625	413.243	9.46	648393	56	42	4567.88	nan
106	nan	6.56097	-nan	0.0394071	2509.99	26431.2	996.498	454.78	9.91	664672	54	43	4307.01	nan
107	nan	6.59726	-nan	0.04134	2333.67	25596.6	1038.22	484.334	10.19	682970	37	44	3994.08	nan
108	nan	6.49753	-nan	0.0432368	2137.82	24394.6	1070.06	507.406	10.68	701828	53	44	3650.59	nan
109	nan	6.27253	-nan	0.0456783	1934.32	22911.8	1087.99	526.872	10.9	720011	38	44	3296.66	nan
110	nan	5.94255	-nan	0.0475575	1733.35	21289.5	1092.29	541.967	11.22	739147	44	44	2949.3	nan
111	nan	5.53425	-nan	0.04937	1542.73	19537.3	1080.88	548.754	11.65	756495	53	44	2621.44	nan
112	nan	5.07678	-nan	0.0501514	1367.76	17754	1053.23	547.282	11.91	772815	35	45	2321.76	nan
113	nan	4.59828	-nan	0.0499948	1211.47	16021.4	1007.16	538.672	12.2	787269	40	45	2055.14	nan
114	nan	4.12316	-nan	0.0492978	1075.41	14390.4	944.418	521.667	12.47	801377	32	45	1823.31	nan
115	nan	3.67048	-nan	0.0483462	959.202	12895.1	870.459	495.473	12.7	815251	45	45	1625.78	nan
116	nan	3.25351	-nan	0.0481003	861.808	11554.9	791.991	461.728	12.94	829737	32	45	1460.61	nan
117	nan	2.88009	-nan	0.0483145	781.689	10378.1	716.637	423.426	13.1	843542	26	45	1325.03	nan
118	nan	2.55359	-nan	0.0489073	717.101	9363.84	647.735	384.253	13.24	857146	18	45	1216.03	nan
119	nan	2.27399	-nan	0.0480625	666.307	8523.6	586.052	348.23	13.38	869874	17	45	1130.6	nan
120	nan	2.03906	-nan	0.0479383	627.694	7817.51	529.16	314.948	13.45	882095	13	45	1066	nan
121	nan	1.84527	-nan	0.0474231	599.806	7240.74	479.277	284.251	13.6	892789	20	45	1019.79	nan
122	nan	1.68857	-nan	0.0468725	581.387	6786.56	435.925	256.741	13.73	902958	17	45	989.913	nan
123	nan	1.56482	-nan	0.0457014	571.556	6443.34	398.718	232.821	13.91	913631	21	45	974.636	nan
124	nan	1.47021	-nan	0.0442169	569.333	6200.92	366.35	212.149	13.94	923893	3	45	972.468	nan
125	nan	1.40132	-nan	0.0434104	573.937	6049.17	338.624	194.354	14.05	933535	12	45	982.084	nan
126	nan	1.35523	-nan	0.0424015	584.625	5978.79	316.52	178.863	14.1	942305	7	45	1002.21	nan
127	nan	1.32947	-nan	0.0417788	600.619	5981.06	299.311	165.897	14.22	950751	12	45	1031.5	nan
128	nan	1.32195	-nan	0.0423653	621.06	6047.44	287.186	155.654	14.34	958413	13	46	1068.43	nan
129	nan	1.33082	-nan	0.0421797	644.93	6184.12	280.911	148.268	14.44	965580	12	46	1111.18	nan
130	nan	1.35436	-nan	0.0400459	671.014	6357.1	278.322	143.225	14.07	969314	6	45	1157.56	nan
131	nan	1.39079	-nan	0.0387959	697.801	6560.2	276.658	140.567	14.15	977053	8	45	1204.98	nan
132	nan	1.43812	-nan	0.0378105	723.574	6783.13	273.906	139.527	14.26	984805	11	45	1250.55	nan
133	nan	1.49401	-nan	0.0379166	746.96	7012.83	273.217	138.454	14.38	991381	12	46	1291.11	nan
134	nan	1.55564	-nan	0.0380678	765.926	7233.99	276.162	137.267	14.45	997558	11	47	1323.54	nan
135	nan	1.61968	-nan	0.0366588	778.829	7430.48	280.94	137.53	14.61	1.00366e+06	16	47	1344.97	nan
136	nan	1.68228	-nan	0.0354514	784.292	7586.54	283.439	139.501	14.79	1.00931e+06	20	46	1353.1	nan
137	nan	1.73927	-nan	0.0341355	781.401	7688.16	283.805	141.61	14.93	1.0147e+06	17	45	1346.49	nan
138	nan	1.78636	-nan	0.0334855	769.824	7724.3	282.052	142.487	15.1	1.01989e+06	20	45	1324.72	nan
139	nan	1.81955	-nan	0.0331062	749.855	7688.3	279.534	142.267	15.2	1.02496e+06	10	45	1288.45	nan
140	nan	1.83547	-nan	0.0327758	722.393	7577.64	276.344	141.205	15.35	1.03049e+06	16	45	1239.4	nan
141	nan	1.83182	-nan	0.0332966	688.831	7395.31	272.146	139.83	15.49	1.03694e+06	14	45	1180.08	nan
142	nan	1.80763	-nan	0.0337779	650.891	7163.51	268.002	138.357	15.66	1.04297e+06	19	45	1113.54	nan
143	nan	1.76343	-nan	0.0350652	610.444	6869.12	263.832	136.247	15.79	1.04866e+06	13	45	1043.04	nan
144	nan	1.70117	-nan	0.0344538	569.284	6530.62	259.57	133.91	15.92	1.05459e+06	14	45	971.704	nan
145	nan	1.62401	-nan	0.0331656	529.037	6167.34	251.112	131.885	16.06	1.05997e+06	15	45	902.346	nan
146	nan	1.53596	-nan	0.0329524	491.241	5794.65	238.703	129.148	16.21	1.0649e+06	16	46	837.284	nan
147	nan	1.44137	-nan	0.0334303	456.856	5426.58	225.721	124.101	15.88	1.06989e+06	14	46	778.301	nan
148	nan	1.34459	-nan	0.0337599	426.652	5076.02	213.643	117.647	16.03	1.07526e+06	17	47	726.671	nan
149	nan	1.24957	-nan	0.0344405	401.149	4751.52	202.156	111.26	16.11	1.0811e+06	8	47	683.241	nan
150	nan	1.15964	-nan	0.0344639	380.671	4461.26	191.609	105.271	16.18	1.08642e+06	8	47	648.55	nan
151	nan	1.0774	-nan	0.0345271	365.432	4211.54	181.26	99.6731	16.3	1.0927e+06	12	47	622.95	nan
152	nan	1.00476	-nan	0.0349624	355.61	4006.95	171.606	94.4177	16.38	1.09876e+06	8	47	606.736	nan
153	nan	0.942985	-nan	0.0353995	351.39	3851.14	163.38	89.2978	16.42	1.10476e+06	4	47	600.257	nan
154	nan	0.892906	-nan	0.0344474	353.048	3747.34	156.401	84.6692	16.53	1.11023e+06	12	47	604.023	nan
155	nan	0.855046	-nan	0.0336556	360.992	3698.9	149.501	80.7974	16.57	1.11513e+06	4	47	618.796	nan
156	nan	0.829804	-nan	0.0331222	375.814	3709.97	143.489	77.3176	16.62	1.11946e+06	5	47	645.671	nan
157	nan	0.817617	-nan	0.0329379	398.328	3785.54	139.169	73.9554	16.67	1.12422e+06	5	47	686.159	nan
158	nan	0.819101	-nan	0.0320325	429.608	3932.45	136.852	71.1841	16.73	1.12877e+06	6	47	742.245	nan
159	nan	0.835179	-nan	0.0314051	471.015	4168.57	135.905	69.5529	16.78	1.13299e+06	5	47	816.435	nan
160	nan	0.867198	-nan	0.0309675	524.207	4491.18	137.201	68.6262	16.86	1.13647e+06	8	47	911.769	nan
161	nan	0.917032	-nan	0.0303587	591.035	4916.16	141.095	68.3723	16.93	1.13978e+06	7	46	1031.77	nan
162	nan	0.987176	-nan	0.0296734	673.513	5461.52	147.565	69.4388	17.04	1.14303e+06	11	46	1180.29	nan
163	nan	1.08081	-nan	0.0291989	774.262	6146.59	156.796	71.8375	17.09	1.14614e+06	5	46	1361.25	nan
164	nan	1.20184	-nan	0.0286603	895.091	6990.36	169.42	75.533	17.22	1.1499e+06	13	46	1578.18	nan
165	nan	1.35484	-nan	0.0283667	1037.53	8011.32	185.735	80.7217	17.38	1.15347e+06	16	47	1833.52	nan
166	nan	1.54493	-nan	0.0287032	1202.16	9224.77	206.902	87.659	17.55	1.15747e+06	17	47	2127.83	nan
167	nan	1.77741	-nan	0.0281206	1388.05	10638.9	234.26	96.5848	17.7	1.16248e+06	15	46	2458.78	nan
168	nan	2.05728	-nan	0.0288446	1592.2	12252	266.258	108.302	17.86	1.16616e+06	16	46	2820.2	nan
169	nan	2.38838	-nan	0.0297783	1809.08	14046.4	307.442	122.755	18.02	1.16903e+06	16	46	3201.38	nan
170	nan	2.77233	-nan	0.0290896	2030.41	15984.7	357.178	140.217	18.25	1.17477e+06	26	47	3586.89	nan
171	nan	3.20725	-nan	0.0283155	2245.37	18007.9	407.642	162.606	18.46	1.18343e+06	24	46	3957.2	nan
172	nan	3.68641	-nan	0.0292768	2441.44	20035	459.473	187.95	18.69	1.19278e+06	26	46	4290.15	nan
173	nan	4.19712	-nan	0.0298414	2605.55	21970.1	520.649	213.202	19.21	1.20102e+06	60	46	4563.35	nan
174	nan	4.72026	-nan	0.0309449	2725.81	23706.1	587.165	240.707	19.64	1.20762e+06	43	46	4757.02	nan
175	nan	5.23073	-nan	0.0336157	2793.14	25138.3	661.377	272.439	20.29	1.21459e+06	78	46	4856.82	nan
176	nan	5.69917	-nan	0.0354229	2802.68	26176.4	748.405	306.816	20.66	1.22149e+06	43	47	4855.99	nan
177	nan	6.09483	-nan	0.0362416	2754.6	26755.8	833.91	346.458	21.09	1.22917e+06	53	48	4756.35	nan
178	nan	6.38941	-nan	0.0392069	2653.93	26846.3	908.788	390.664	21.55	1.23947e+06	64	48	4567.88	nan
179	nan	6.56097	-nan	0.0395268	2509.67	26456.8	986.332	431.553	21.77	1.19409e+06	54	47	4307.01	nan
180	nan	6.59726	-nan	0.0430156	2333.4	25628.1	1055.86	469.337	22.26	1.20192e+06	75	47	3994.08	nan
181	nan	6.49753	-nan	0.044076	2137.59	24478.8	1092.46	509.31	22.79	1.2103e+06	88	47	3650.59	nan
182	nan	6.27253	-nan	0.0456013	1934.12	23011.1	1106.2	539.033	23.14	1.2185e+06	63	48	3296.66	nan
183	nan	5.94255	-nan	0.0473994	1733.08	21337.4	1102.72	552.075	23.61	1.2262e+06	84	48	2949.3	nan
184	nan	5.53425	-nan	0.0483988	1542.27	19565.5	1084.34	555.623	23.75	1.23416e+06	45	47	2621.44	nan
185	nan	5.07678	-nan	0.0500536	1367.44	17778.6	1049.25	551.371	24.01	1.2422e+06	48	50	2321.76	nan
186	nan	4.59828	-nan	0.0517103	1211.39	16043.5	1004.48	539.094	24.32	1.2502e+06	58	50	2055.14	nan
187	nan	4.12316	-nan	0.052734	1075.34	14410.3	952.198	519.517	24.57	1.25813e+06	42	50	1823.31	nan
188	nan	3.67048	-nan	0.0530157	959.135	12912.9	892.216	495.698	24.77	1.2656e+06	47	50	1625.78	nan
189	nan	3.25351	-nan	0.0525416	861.748	11571.5	825.621	468.127	24.93	1.27266e+06	33	50	1460.61	nan
190	nan	2.88009	-nan	0.0512911	781.634	10393.2	754.622	436.776	25.09	1.27989e+06	30	50	1325.03	nan
191	nan	2.55359	-nan	0.0500885	717.05	9377.71	682.116	402.433	25.26	1.28705e+06	28	50	1216.03	nan
192	nan	2.27399	-nan	0.0497501	666.255	8518.91	612.984	366.316	25.36	1.2942e+06	24	50	1130.6	nan
193	nan	2.03906	-nan	0.0492827	627.642	7807.22	551.518	330.238	25.46	1.30138e+06	14	50	1066	nan
194	nan	1.84527	-nan	0.0486292	599.783	7230.5	497.743	296.731	25.68	1.30855e+06	29	50	1019.79	nan
195	nan	1.68857	-nan	0.0482873	581.455	6776.78	451.331	267.201	25.79	1.31499e+06	26	49	989.913	nan
196	nan	1.56482	-nan	0.047777	571.621	6434.01	412.546	241.437	25.97	1.32126e+06	28	49	974.636	nan
197	nan	1.47021	-nan	0.0465864	569.401	6191.96	380.264	219.459	26.09	1.32731e+06	13	49	972.468	nan
198	nan	1.40132	-nan	0.0452076	574.01	6040.5	352.822	201.195	26.19	1.33434e+06	14	49	982.084	nan
199	nan	1.35523	-nan	0.0442846	584.704	5970.32	329.927	185.875	26.26	1.34068e+06	10	49	1002.21	nan
200	nan	1.32947	-nan	0.0442024	600.705	5973.24	312.406	172.878	26.36	1.34693e+06	11	49	1031.5	nan
201	nan	1.32195	-nan	0.0436984	621.153	6039.87	300.864	162.25	26.44	1.35303e+06	10	49	1068.43	nan
202	nan	1.33082	-nan	0.0432615	645.028	6161.4	293.671	154.496	26.55	1.35872e+06	11	49	1111.18	nan
203	nan	1.35436	-nan	0.0420805	671.112	6328.11	289.917	149.505	26.72	1.3639e+06	20	49	1157.56	nan
204	nan	1.39079	-nan	0.0411079	697.983	6528.63	287.827	146.548	26.82	1.3692e+06	11	49	1204.98	nan
205	nan	1.43812	-nan	0.0395061	724.002	6750.58	287.173	144.988	26.95	1.37439e+06	17	49	1250.55	nan
206	nan	1.49401	-nan	0.0382729	747.4	6979.59	286.592	144.231	27.1	1.37904e+06	16	50	1291.11	nan
207	nan	1.55564	-nan	0.0372644	766.388	7200.03	286.581	143.935	27.22	1.3836e+06	12	50	1323.54	nan
208	nan	1.61968	-nan	0.036912	779.291	7395.76	287.409	143.714	27.39	1.38772e+06	20	49	1344.97	nan
209	nan	1.68228	-nan	0.0368823	784.744	7550.27	289.83	143.796	27.59	1.39192e+06	22	49	1353.1	nan
210	nan	1.73927	-nan	0.0366014	781.837	7650.98	293.296	144.462	27.81	1.39585e+06	22	49	1346.49	nan
211	nan	1.78636	-nan	0.0373541	770.237	7686.74	296.448	145.925	28.03	1.40025e+06	22	49	1324.72	nan
212	nan	1.81955	-nan	0.0369341	750.248	7665.66	299.885	147.954	28.22	1.405e+06	21	49	1288.45	nan
213	nan	1.83547	-nan	0.0368333	722.752	7560.68	300.819	149.67	28.51	1.4092e+06	30	50	1239.4	nan
214	nan	1.83182	-nan	0.0366416	689.111	7379.23	299.429	150.797	28.72	1.41358e+06	22	50	1180.08	nan
215	nan	1.80763	-nan	0.0367089	651.02	7133.14	295.611	150.816	28.88	1.41864e+06	20	50	1113.54	nan
216	nan	1.76343	-nan	0.0372911	610.562	6834.04	290.069	149.681	29	1.42478e+06	12	50	1043.04	nan
217	nan	1.70117	-nan	0.0386875	569.422	6496.26	283.992	147.414	29.09	1.43192e+06	12	50	971.704	nan
218	nan	1.62401	-nan	0.0402484	529.254	6134.59	278.483	144.472	29.23	1.43867e+06	16	51	902.346	nan
219	nan	1.53596	-nan	0.0412748	491.434	5763.81	272.872	141.5	29.29	1.44521e+06	9	51	837.284	nan
220	nan	1.44137	-nan	0.0409863	457.029	5397.76	265.419	138.782	29.44	1.44994e+06	15	51	778.301	nan
221	nan	1.34459	-nan	0.0405822	426.811	5048.23	254.568	135.749	29.56	1.4544e+06	12	50	726.671	nan
222	nan	1.24957	-nan	0.0396525	401.297	4725.2	241.356	131.431	29.8	1.45817e+06	24	50	683.241	nan
223	nan	1.15964	-nan	0.0387014	380.814	4436.56	226.445	125.533	30.01	1.46215e+06	23	50	648.55	nan
224	nan	1.0774	-nan	0.0371344	365.577	4188.35	210.941	118.564	30	1.46612e+06	6	49	622.95	nan
225	nan	1.00476	-nan	0.0368071	355.755	3985.2	195.53	110.946	30.12	1.47085e+06	13	49	606.736	nan
226	nan	0.942985	-nan	0.0365863	351.54	3830.48	182.041	103.11	30.27	1.47534e+06	15	49	600.257	nan
227	nan	0.892906	-nan	0.0370362	353.207	3727.49	171.064	95.6385	30.31	1.47979e+06	4	49	604.023	nan
228	nan	0.855046	-nan	0.0369854	361.165	3679.61	163.059	89.2673	30.38	1.48491e+06	7	49	618.796	nan
229	nan	0.829804	-nan	0.0364541	376.008	3690.89	157.187	84.2787	30.49	1.48945e+06	11	49	645.671	nan
230	nan	0.817617	-nan	0.036767	398.551	3766.45	153.177	80.6655	30.63	1.49455e+06	15	49	686.159	nan
231	nan	0.819101	-nan	0.0370343	429.87	3913.07	152.096	78.007	30.72	1.49936e+06	9	51	742.245	nan
232	nan	0.835179	-nan	0.0372508	471.329	4139.54	153.969	76.4613	30.8	1.50309e+06	8	51	816.435	nan
233	nan	0.867198	-nan	0.0366598	524.588	4456.93	158.661	76.4194	30.93	1.50698e+06	13	51	911.769	nan
234	nan	0.917032	-nan	0.035331	591.579	4878.94	165.311	77.8623	30.79	1.51142e+06	5	50	1031.77	nan
